created_at,entry_id,Temperature (C),Turbidity(NTU),PH
2021-06-25 15:14:09 CET,1,27,100,6.05951
2021-06-25 15:14:28 CET,2,27,100,6.00049
2021-06-25 15:14:53 CET,3,27,100,6.07766
2021-06-25 15:15:49 CET,4,27,100,6.05043
2021-06-25 15:18:36 CET,5,27,100,6.06858
2021-06-25 15:18:56 CET,6,27.0625,100,6.05043
2021-06-25 15:19:16 CET,7,27,100,6.05043
2021-06-25 15:20:12 CET,8,27.0625,100,6.05043
2021-06-25 15:20:32 CET,9,27.0625,100,6.05951
2021-06-25 15:20:51 CET,10,27.0625,100,6.04135
2021-06-25 15:21:11 CET,11,27,100,6.05951
2021-06-25 15:21:31 CET,12,27,100,6.04135
2021-06-25 15:21:50 CET,13,27,100,6.03681
2021-06-25 15:22:10 CET,14,27,100,6.03681
2021-06-25 15:22:29 CET,15,27.0625,100,6.0822
2021-06-25 15:23:27 CET,16,27.0625,100,6.05951
2021-06-25 15:23:48 CET,17,27.0625,100,6.0822
2021-06-25 15:24:44 CET,18,27.0625,100,6.05497
2021-06-25 15:25:04 CET,19,27,100,6.08674
2021-06-25 15:25:23 CET,20,27.0625,100,5.95056
2021-06-25 15:25:53 CET,21,27.0625,100,6.19569
2021-06-25 15:26:13 CET,22,27.0625,100,6.05951
2021-06-25 15:26:33 CET,23,27.0625,100,6.21385
2021-06-25 15:28:43 CET,24,27.0625,100,6.04135
2021-06-25 15:29:03 CET,25,27.0625,100,6.04135
2021-06-25 15:29:22 CET,26,27.0625,100,6.05043
10/10/2021,27,27,100,6.05951
10/10/2021,28,27,100,6.00049
10/10/2021,29,27,100,6.07766
10/10/2021,30,27,100,6.05043
10/10/2021,31,27,100,6.06858
10/10/2021,32,27.0625,100,6.05043
10/10/2021,33,27,100,6.05043
10/10/2021,34,27.0625,100,6.05043
10/10/2021,35,27.0625,100,6.05951
10/10/2021,36,27.0625,100,6.04135
10/10/2021,37,27,100,6.05951
10/10/2021,38,27,100,6.04135
