created_at,entry_id,Temperature (C),Turbidity(NTU),PH
2021-06-25 15:48:59 CET,1,-127,100,15.45166
2021-06-25 15:49:19 CET,2,-127,100,15.45166
2021-06-25 15:50:16 CET,3,27.125,100,6.01411
2021-06-25 15:51:50 CET,4,27.3125,100,6.03227
2021-06-25 15:52:10 CET,5,27.25,100,6.03681
2021-06-25 15:52:30 CET,6,27.25,100,5.87339
2021-06-25 15:52:50 CET,7,27.25,100,6.04135
2021-06-25 15:53:09 CET,8,27.25,100,6.04135
2021-06-25 15:53:29 CET,9,27.25,100,6.03681
2021-06-25 15:53:48 CET,10,27.25,100,6.03681
2021-06-25 15:54:08 CET,11,27.25,100,6.05043
2021-06-25 15:54:29 CET,12,27.25,100,6.05043
2021-06-25 15:56:02 CET,13,27.25,100,6.01865
2021-06-25 15:56:22 CET,14,27.1875,100,6.04135
2021-06-25 15:57:18 CET,15,27.125,100,6.01411
2021-06-25 17:28:46 CET,16,27.125,100,6.02319
2021-06-25 17:29:06 CET,17,27.125,100,6.02319
2021-06-25 17:29:26 CET,18,27.125,100,6.03681
2021-06-25 17:30:59 CET,19,27.1875,100,6.07312
2021-06-25 17:31:19 CET,20,27.125,100,6.05043
2021-06-25 17:32:15 CET,21,27.1875,100,6.03681
2021-06-25 17:33:12 CET,22,27.125,100,6.0822
2021-06-25 17:34:08 CET,23,27.125,100,6.02319
2021-06-25 17:34:28 CET,24,27.125,100,6.02319
2021-06-25 17:34:48 CET,25,27.1875,100,6.00957
2021-06-25 17:35:07 CET,26,27.125,100,6.03227
2021-06-25 17:37:18 CET,27,27.1875,100,6.03681
2021-06-25 17:38:14 CET,28,27.125,100,6.03681
2021-06-25 17:38:34 CET,29,27.125,100,6.03227
2021-06-25 17:40:44 CET,30,27.125,100,6.03227
2021-06-25 17:41:04 CET,31,27.125,100,6.03227
2021-06-25 17:42:38 CET,32,27.1875,100,6.03227
2021-06-25 17:44:13 CET,33,27.1875,100,6.03681
2021-06-25 17:44:34 CET,34,27.1875,100,6.03227
2021-06-25 17:44:53 CET,35,27.1875,100,6.01411
2021-06-25 17:45:13 CET,36,27.125,100,6.02773
2021-06-25 17:47:23 CET,37,27.125,100,6.03227
2021-06-25 17:47:43 CET,38,27.125,100,6.02319
2021-06-25 17:48:03 CET,39,27.125,100,6.01865
2021-06-25 17:48:22 CET,40,27.125,100,6.03227
2021-06-25 17:48:42 CET,41,27.125,100,6.03227
2021-06-25 17:50:15 CET,42,27.1875,100,6.04135
2021-06-25 17:50:34 CET,43,27.125,100,6.02319
2021-06-25 17:50:54 CET,44,27.125,100,6.03681
2021-06-25 17:51:14 CET,45,27.125,100,6.05497
2021-06-25 17:52:10 CET,46,27.125,100,6.03681
2021-06-25 17:53:07 CET,47,27.125,100,6.03227
2021-06-25 17:55:17 CET,48,27.125,100,6.03227
2021-06-25 17:55:37 CET,49,27.125,100,6.03227
2021-06-25 17:56:33 CET,50,27.1875,100,6.01865
2021-06-25 17:56:53 CET,51,27.125,100,6.03227
2021-06-25 17:57:12 CET,52,27.125,100,6.02319
2021-06-25 17:57:32 CET,53,27.125,100,6.02773
2021-06-25 17:57:51 CET,54,27.1875,100,6.02319
2021-06-25 17:58:11 CET,55,27.125,100,6.02319
2021-06-25 17:58:31 CET,56,27.125,100,6.03227
2021-06-25 18:00:04 CET,57,27.1875,100,6.01411
2021-06-25 18:01:38 CET,58,27.1875,100,6.02319
2021-06-25 18:01:57 CET,59,27.125,100,6.03681
2021-06-25 18:02:17 CET,60,27.125,100,6.04135
2021-06-25 18:02:36 CET,61,27.1875,100,6.03681
2021-06-25 18:02:56 CET,62,27.125,100,6.03681
2021-06-25 18:03:52 CET,63,27.125,100,6.02319
2021-06-25 18:04:12 CET,64,27.125,100,6.02773
2021-06-25 18:04:31 CET,65,27.125,100,6.03681
2021-06-25 18:06:05 CET,66,27.125,100,6.01865
2021-06-25 18:07:01 CET,67,27.125,100,6.03227
2021-06-25 18:07:57 CET,68,27.125,100,6.02319
2021-06-25 18:08:16 CET,69,27.125,100,6.03227
2021-06-25 18:09:50 CET,70,27.125,100,6.03681
2021-06-25 18:11:23 CET,71,27.1875,100,6.05043
2021-06-25 18:11:43 CET,72,27.125,100,6.05497
2021-06-25 18:13:35 CET,73,27.125,100,6.03227
2021-06-25 18:16:22 CET,74,27.125,100,6.03227
2021-06-25 18:17:56 CET,75,27.1875,100,6.03227
2021-06-25 18:18:16 CET,76,27.125,100,6.04135
2021-06-25 18:18:35 CET,77,27.125,100,6.05497
2021-06-25 18:18:55 CET,78,27.125,100,6.03681
2021-06-25 18:19:51 CET,79,27.125,100,6.03227
2021-06-25 18:20:11 CET,80,27.1875,100,6.03227
2021-06-25 18:20:30 CET,81,27.125,100,6.05497
2021-06-25 18:20:50 CET,82,27.125,100,6.05043
2021-06-25 18:21:10 CET,83,27.125,100,6.03681
2021-06-25 18:22:06 CET,84,27.125,100,6.06858
2021-06-25 18:22:25 CET,85,27.125,100,6.04135
2021-06-25 18:23:59 CET,86,27.1875,100,6.03681
2021-06-25 18:24:18 CET,87,27.125,100,6.03681
2021-06-25 18:25:15 CET,88,27.125,100,6.04135
2021-06-25 18:26:11 CET,89,27.125,100,6.04135
2021-06-25 18:26:31 CET,90,27.125,100,6.05043
2021-06-25 18:26:51 CET,91,27.125,100,6.03681
2021-06-25 18:27:10 CET,92,27.125,100,6.05043
2021-06-25 18:28:44 CET,93,27.125,100,6.03227
2021-06-25 18:30:17 CET,94,27.125,100,6.05043
2021-06-25 18:31:14 CET,95,27.125,100,6.03227
2021-06-25 18:32:47 CET,96,27.125,100,6.03681
2021-06-25 18:33:07 CET,97,27.0625,100,6.0822
2021-06-25 18:33:26 CET,98,27.125,100,6.05043
2021-06-25 18:33:46 CET,99,27.0625,100,6.02319
2021-06-25 18:34:24 CET,100,27.125,100,6.03227
2021-06-25 18:34:44 CET,101,27.125,100,6.07766
2021-06-25 18:35:40 CET,102,27.0625,100,6.03227
2021-06-25 18:38:28 CET,103,27.1875,100,6.05497
2021-06-25 18:40:01 CET,104,27.1875,100,6.02773
2021-06-25 18:40:21 CET,105,27.125,100,6.03681
2021-06-25 18:40:40 CET,106,27.125,100,6.03681
2021-06-25 18:41:00 CET,107,27.125,100,6.00957
2021-06-25 18:41:19 CET,108,27.125,100,6.04135
2021-06-25 18:41:39 CET,109,27.125,100,6.03227
2021-06-25 18:42:54 CET,110,27.125,100,6.05043
2021-06-25 18:43:13 CET,111,27.125,100,6.04135
2021-06-25 18:43:33 CET,112,27.1875,100,6.01411
2021-06-26 16:37:15 CET,113,26.0625,100,5.97326
2021-06-27 00:05:12 CET,114,25.25,100,6.05043
2021-06-28 09:35:23 CET,115,23.9375,100,6.16845
2021-06-29 17:26:25 CET,116,25.1875,100,6.0822
2021-06-29 17:31:31 CET,117,25.25,100,6.07312
2021-06-29 18:43:12 CET,118,25.1875,100,6.09128
2021-06-30 01:09:29 CET,119,24.5,100,6.65871
2021-07-01 09:04:13 CET,120,24.875,100,6.2774
2021-07-07 15:15:34 CET,121,25.8125,100,6.33187
2021-07-07 15:15:53 CET,122,25.9375,100,6.33641
2021-07-07 15:16:13 CET,123,25.9375,100,6.33641
2021-07-07 15:16:32 CET,124,25.9375,100,6.34549
2021-07-07 15:16:52 CET,125,25.9375,100,6.34095
2021-07-07 15:17:11 CET,126,25.875,100,6.34095
2021-07-07 15:17:31 CET,127,26,100,6.34549
2021-07-07 15:17:50 CET,128,25.9375,100,6.34095
2021-07-07 15:18:14 CET,129,-127,100,6.32733
2021-07-07 15:18:33 CET,130,25.9375,100,6.34095
2021-07-07 15:18:53 CET,131,25.875,100,6.34095
2021-07-07 15:19:13 CET,132,26,100,6.34549
2021-07-07 15:19:33 CET,133,26,100,6.35003
2021-07-07 15:19:52 CET,134,25.9375,100,6.32733
2021-07-07 15:20:12 CET,135,25.9375,100,6.35003
2021-07-07 15:20:31 CET,136,26,100,6.34549
