created_at,entry_id,Temperature (C),Turbidity(NTU),PH
2021-06-18 13:02:10 CET,1,25.375,41,8.1749
2021-06-18 13:02:30 CET,2,25.375,41,8.13858
2021-06-18 13:02:50 CET,3,25.3125,41,8.3474
2021-06-18 13:03:10 CET,4,25.3125,41,8.1749
2021-06-18 13:03:40 CET,5,25.375,31,8.14766
2021-06-18 13:03:59 CET,6,25.4375,32,8.15674
2021-06-18 13:04:19 CET,7,25.375,31,8.15674
2021-06-18 13:04:39 CET,8,25.4375,31,8.14766
2021-06-18 13:05:00 CET,9,26,33,8.15674
2021-06-18 13:05:19 CET,10,26.3125,33,8.16128
2021-06-18 13:05:39 CET,11,26.3125,33,8.15674
2021-06-18 13:10:46 CET,12,26.3125,34,8.15674
2021-06-18 13:11:05 CET,13,26.3125,34,8.15674
2021-06-18 13:11:25 CET,14,26.375,34,8.14312
2021-06-18 13:11:45 CET,15,26.3125,33,8.14766
2021-06-18 13:12:04 CET,16,26.375,33,8.13858
2021-06-18 13:12:24 CET,17,26.3125,33,8.13858
2021-06-18 13:12:44 CET,18,26.3125,33,8.14766
2021-06-18 13:13:03 CET,19,26.3125,33,8.13858
2021-06-18 13:13:23 CET,20,26.375,33,8.13858
2021-06-18 13:13:42 CET,21,26.375,36,8.15674
2021-06-18 13:14:02 CET,22,26.375,33,8.14766
2021-06-18 13:14:21 CET,23,26.375,33,8.15674
2021-06-18 13:14:41 CET,24,26.375,33,8.18398
2021-06-18 13:15:37 CET,25,26.375,33,8.11588
2021-06-18 13:15:57 CET,26,26.375,33,8.14766
2021-06-18 13:16:16 CET,27,26.375,33,8.16128
2021-06-18 13:16:36 CET,28,26.375,34,8.14312
2021-06-18 13:16:55 CET,29,26.375,34,8.14312
2021-06-18 13:17:15 CET,30,26.375,34,8.14766
2021-06-18 13:17:35 CET,31,26.375,33,8.13858
2021-06-18 13:17:54 CET,32,26.375,33,8.16582
2021-06-18 13:18:14 CET,33,26.375,33,8.14766
2021-06-18 13:18:33 CET,34,26.375,33,8.14312
2021-06-18 13:18:53 CET,35,26.375,33,8.13858
2021-06-18 13:19:12 CET,36,26.375,32,8.14312
2021-06-18 13:19:32 CET,37,26.375,33,8.14312
2021-06-18 13:19:51 CET,38,26.375,32,8.14312
2021-06-18 13:20:11 CET,39,26.375,32,8.14312
