created_at,entry_id,Temperature (C),Turbidity(NTU),PH
2021-06-18 12:11:39 CET,1,27.7,97,8.48358
2021-06-18 12:12:08 CET,2,27.7,97,8.40641
2021-06-18 12:12:28 CET,3,27.7,96,8.41095
2021-06-18 12:12:48 CET,4,27,45,8.40641
2021-06-18 12:13:07 CET,5,27,45,8.40641
2021-06-18 12:13:27 CET,6,27,45,8.48358
2021-06-18 12:13:46 CET,7,26.9375,47,8.42003
2021-06-18 12:14:06 CET,8,26.9375,46,8.39733
2021-06-18 12:17:10 CET,9,26.6875,14,8.42003
2021-06-18 12:17:32 CET,10,26.6875,14,8.40641
2021-06-18 12:17:52 CET,11,26.6875,14,8.40641
2021-06-18 12:18:11 CET,12,26.625,14,8.42003
2021-06-18 12:18:31 CET,13,26.625,15,8.40641
2021-06-18 12:18:48 CET,14,26.625,12,8.40641
2021-06-18 12:19:07 CET,15,26.5625,13,8.40641
2021-06-18 12:19:27 CET,16,26.625,15,8.40641
2021-06-18 12:19:46 CET,17,26.5625,15,8.40641
2021-06-18 12:20:06 CET,18,26.5,16,8.40187
2021-06-18 12:20:28 CET,19,26.4375,16,8.40641
2021-06-18 12:20:48 CET,20,26.4375,15,8.40641
2021-06-18 12:21:08 CET,21,26.4375,16,8.42003
2021-06-18 12:21:28 CET,22,26.4375,16,8.55167
2021-06-18 12:22:24 CET,23,26.375,15,8.40641
2021-06-18 12:22:44 CET,24,26.375,15,8.40641
2021-06-18 12:23:03 CET,25,26.25,14,8.39733
2021-06-18 12:23:23 CET,26,26.3125,15,8.41095
2021-06-18 12:23:42 CET,27,26.3125,13,8.42911
2021-06-18 12:24:02 CET,28,26.25,14,8.40187
2021-06-18 12:24:22 CET,29,26.25,13,8.40187
2021-06-18 12:24:41 CET,30,26.25,14,8.42003
2021-06-18 12:25:01 CET,31,26.25,14,8.40641
2021-06-18 12:25:20 CET,32,26.25,13,8.40641
2021-06-18 12:25:40 CET,33,26.25,13,8.40641
2021-06-18 12:26:00 CET,34,26.25,13,8.41549
2021-06-18 12:26:19 CET,35,26.3125,12,8.40641
2021-06-18 12:26:39 CET,36,26.25,14,8.41095
2021-06-18 12:26:58 CET,37,26.3125,14,8.41095
2021-06-18 12:27:18 CET,38,26.25,14,8.42911
2021-06-18 12:27:41 CET,39,25.6875,18,8.40187
2021-06-18 12:28:01 CET,40,25.1875,16,8.40641
2021-06-18 12:28:20 CET,41,25.1875,16,8.40641
2021-06-18 12:28:40 CET,42,25.1875,18,8.40641
2021-06-18 12:29:00 CET,43,25.125,17,8.41095
2021-06-18 12:29:20 CET,44,25.125,18,8.40187
2021-06-18 12:29:39 CET,45,25.125,18,8.41095
2021-06-18 12:29:59 CET,46,25.1875,18,8.40641
2021-06-18 12:30:18 CET,47,25.1875,17,8.40641
2021-06-18 12:30:38 CET,48,25.125,18,8.40641
2021-06-18 12:30:58 CET,49,25.1875,18,8.40641
2021-06-18 12:31:17 CET,50,25.1875,18,8.40641
2021-06-18 12:31:37 CET,51,25.125,18,8.40641
2021-06-18 12:31:56 CET,52,25.125,18,8.40641
2021-06-18 12:32:16 CET,53,25.125,17,8.40641
2021-06-18 12:32:35 CET,54,25.1875,19,8.40641
2021-06-18 12:32:55 CET,55,25.1875,19,8.40641
2021-06-18 12:33:15 CET,56,25.125,19,8.54259
2021-06-18 12:34:11 CET,57,25.1875,19,8.40641
2021-06-18 12:34:31 CET,58,25.125,21,8.42911
2021-06-18 12:35:27 CET,59,25.1875,20,8.40641
2021-06-18 12:35:47 CET,60,25.1875,21,8.40641
2021-06-18 12:36:06 CET,61,25.125,22,8.40641
2021-06-18 12:36:26 CET,62,25.125,22,8.41095
2021-06-18 12:36:46 CET,63,25.125,21,8.40641
2021-06-18 12:37:05 CET,64,25.1875,21,8.40187
2021-06-18 12:37:24 CET,65,25.1875,22,8.40641
2021-06-18 12:37:44 CET,66,25.1875,22,8.40641
2021-06-18 12:38:04 CET,67,25.1875,21,8.40641
2021-06-18 12:38:23 CET,68,25.1875,21,8.40641
2021-06-18 12:38:43 CET,69,25.125,21,8.41095
2021-06-18 12:39:40 CET,70,25.1875,19,8.40187
2021-06-18 12:39:59 CET,71,25.1875,19,8.42911
2021-06-18 12:40:19 CET,72,25.125,19,8.41095
2021-06-18 12:41:15 CET,73,25.125,18,8.40641
2021-06-18 12:41:35 CET,74,25.125,19,8.40641
2021-06-18 12:41:54 CET,75,25.125,20,8.40641
2021-06-18 12:42:14 CET,76,25.1875,20,8.40641
2021-06-18 12:43:10 CET,77,25.1875,20,8.40641
2021-06-18 12:43:30 CET,78,25.125,21,8.40641
2021-06-18 12:43:49 CET,79,25.125,20,8.40641
2021-06-18 12:44:09 CET,80,25.1875,21,8.40641
2021-06-18 12:44:29 CET,81,25.125,21,8.40641
2021-06-18 12:44:48 CET,82,25.125,23,8.40641
